"","kdrama_name","platform"
"827","Life on Mars","KDRAMA"
"828","Lights and Shadows","Viki"
"829","Light on Me","KOK TV"
"830","Light on Me","Viki"
"832","Link: Eat, Love, Kill","Disney"
"833","Listen to Love","Disney Hotstar"
"834","Listen to Love","Viki"
"835","Listen to My Heart","Viki"
"837","Live","KDRAMA"
"838","Live","Netflix"
"839","Live On","Viki"
"840","Live On","WeTV"
"841","Live Up to Your Name","KDRAMA"
"842","Live Up to Your Name","Netflix"
"843","Liver or Die","Viki"
"844","Liver or Die","Netflix"
"846","Living in Style","Viki"
"853","Love (ft. Marriage and Divorce)","Netflix"
"854","Love Again","Viki"
"855","Love Alarm","Netflix"
"856","Love Alert","Apple TV"
"857","Love Alert","Viki"
"858","Love All Play","Disney Hotstar"
"863","Love in Her Bag","Viki"
"864","Love in Sadness","Viki"
"865","Love in the Moonlight","Apple TV"
"866","Love in the Moonlight","Viki"
"867","Love in the Moonlight","WeTV"
"868","Love in the Moonlight","Netflix"
"870","Love on a Rooftop","KBS World"
"871","Love Playlist","PlayList Global"
"872","Love Playlist","WeTV"
"873","Love Rain","Viki"
"874","Love Rain","Netflix"
"875","Love Returns","KBS World"
"876","Love Revolution","Kakao TV"
"877","Love Revolution","Viki"
"878","Love Scene Number","Viki"
"879","Love to Hate You","Netflix"
"880","Love to the End","KBS World"
"881","Love Twist","KBS World"
"882","Love Twist","Viki"
"883","Love with Flaws","Apple TV"
"884","Love with Flaws","Viki"
"886","Lovely Horribly","Viki"
"888","Lovers in Bloom","KBS World"
"891","Lovers of Haeundae","Viki"
"892","Lovers of Music","KBS World"
"893","Lovers of Music","Viki"
"894","Lovers of the Red Sky","Viki"
"895","Lovestruck in the City","Kakao TV"
"896","Lovestruck in the City","Netflix"
"897","Lucky Romance","Viki"
"898","Lucky Romance","Apple TV"
"899","Ma Boy","Tooniverse"
"900","Mad Dog","Apple TV"
"901","Mad Dog","Viki"
"902","Madame Antoine: The Love Therapist","Viki"
"903","Magic Cellphone","Netflix"
"909","Man in a Veil","Apple TV"
"910","Man in a Veil","Viki"
"911","Man in the Kitchen","Viki"
"912","Man to Man","Netflix"
"914","Manhole","Viki"
"916","Marriage Contract","Viki"
"917","Marriage Contract","Netflix"
"918","Marriage, Not Dating","Viki"
"919","Marriage, Not Dating","WeTV"
"920","Marriage, Not Dating","KDRAMA"
"921","Marry Him If You Dare","Viki"
"922","Marry Me Now","Apple TV"
"923","Marry Me Now","KBS World"
"924","Marry Me Now","Viki"
"927","Mask","SBS World"
"928","Mask","Viki"
"929","Master's Sun","Apple TV"
"930","Master's Sun","Viki"
"931","Matrimonial Chaos","Viki"
"932","May Queen","Viki"
"933","Me Too, Flower!","Viki"
"934","Medical Top Team","Viki"
"935","Melancholia","WeTV"
"936","Melancholia","Netflix"
"937","Melancholia","TVING"
"938","Melancholia","Viki"
"939","Melody of Love","KBS World"
"940","Meloholic","Viki"
"941","Melting Me Softly","Apple TV"
"942","Melting Me Softly","Viki"
"943","Melting Me Softly","KDRAMA"
"944","Memories of the Alhambra","Netflix"
"945","Memorials","Viki"
"946","Memorials","Netflix"
"947","Memorist","Viki"
"948","Memorist","WeTV"
"950","Men Are Men","Viki"
"953","Military Prosecutor Doberman","Netflix"
"954","Military Prosecutor Doberman","Viki"
"955","Mimi","Viki"
"957","Mine","TVING"
"958","Mine","Netflix"
"959","Misaeng: Incomplete Life","Viki"
"960","Misaeng: Incomplete Life","WeTV"
"961","Misaeng: Incomplete Life","Netflix"
"963","Miss Korea","Viki"
"967","Miss Monte-Cristo","Viki"
"968","Miss Panda and Mr. Hedgehog","Viki"
"969","Miss Panda and Mr. Hedgehog","Netflix"
"972","Missing You","Viki"
"973","Missing: The Other Side","Viki"
"974","Mistress","KDRAMA"
"975","Mistress","Viki"
"976","Misty","Disney Hotstar"
"977","Misty","Viki"
"978","Misty","Netflix"
"980","Modern Farmer","SBS World"
"981","Modern Farmer","Viki"
"982","Mom Has an Affair","Viki"
"984","Money Flower","Viki"
"985","Money Game","WeTV"
"986","Money Heist: Korea – Joint Economic Area","Netflix"
"987","Monstar","KDRAMA"
"989","Monstrous","TVING"
"990","Monthly Magazine Home","Viki"
"991","Moon Embracing the Sun","WeTV"
"992","Moon Embracing the Sun","Apple TV"
"993","Moon Embracing the Sun","iflix"
"994","Moon Embracing the Sun","Viki"
"995","Moon Lovers: Scarlet Heart Ryeo","SBS VOD"
"996","Moonshine","Prime Video"
"997","Moonshine","Viki"
