기간,Dubai,Brent,WTI
22년05월26일,108.93,117.40,114.09
22년05월27일,112.36,119.43,115.07
22년05월30일,113.84,121.67,
22년05월31일,116.41,122.84,114.67
22년06월01일,112.70,116.29,115.26
22년06월02일,108.99,117.61,116.87
22년06월03일,112.12,119.72,118.87
22년06월06일,115.66,119.51,118.50
22년06월07일,115.60,120.57,119.41
22년06월08일,116.52,123.58,122.11
22년06월09일,118.83,123.07,121.51
22년06월10일,118.94,122.01,120.67
22년06월13일,115.63,122.27,120.93
22년06월14일,118.67,121.17,118.93
22년06월15일,116.33,118.51,115.31
22년06월16일,114.99,119.81,117.59
22년06월17일,116.29,113.12,109.56
22년06월20일,108.43,114.13,
22년06월21일,111.79,114.65,110.65
22년06월22일,106.62,111.74,106.19
22년06월23일,106.48,110.05,104.27
22년06월24일,106.51,113.12,107.62
22년06월27일,110.03,115.09,109.57
22년06월28일,113.21,117.98,111.76
22년06월29일,114.22,116.26,109.78
22년06월30일,113.40,114.81,105.76
22년07월01일,106.34,111.63,108.43
22년07월04일,108.38,113.50,
22년07월05일,111.07,102.77,99.50
22년07월06일,101.73,100.69,98.53
22년07월07일,98.19,104.65,102.73
22년07월08일,104.03,107.02,104.79
22년07월11일,,107.10,104.09
22년07월12일,102.16,99.49,95.84
22년07월13일,98.41,99.57,96.30
22년07월14일,97.73,99.10,95.78
22년07월15일,98.33,101.16,97.59
22년07월18일,102.62,106.27,102.60
