"행정구역별(읍면동)","연령별","항목","단위","2021 년",
"성동구","15~19세","총인구(명)","","10111",
"성동구","15~19세","총인구_남자(명)","","4861",
"성동구","15~19세","총인구_여자(명)","","5250",
"성동구","20~24세","총인구(명)","","21265",
"성동구","20~24세","총인구_남자(명)","","10043",
"성동구","20~24세","총인구_여자(명)","","11222",
"성동구","25~29세","총인구(명)","","26259",
"성동구","25~29세","총인구_남자(명)","","13255",
"성동구","25~29세","총인구_여자(명)","","13004",
"성동구","30~34세","총인구(명)","","23416",
"성동구","30~34세","총인구_남자(명)","","11288",
"성동구","30~34세","총인구_여자(명)","","12128",
"성동구","35~39세","총인구(명)","","23654",
"성동구","35~39세","총인구_남자(명)","","12000",
"성동구","35~39세","총인구_여자(명)","","11654",
"성동구","40~44세","총인구(명)","","21408",
"성동구","40~44세","총인구_남자(명)","","10916",
"성동구","40~44세","총인구_여자(명)","","10492",
"성동구","45~49세","총인구(명)","","20715",
"성동구","45~49세","총인구_남자(명)","","10268",
"성동구","45~49세","총인구_여자(명)","","10447",
"성동구","50~54세","총인구(명)","","23627",
"성동구","50~54세","총인구_남자(명)","","11449",
"성동구","50~54세","총인구_여자(명)","","12178",
"성동구","55~59세","총인구(명)","","21859",
"성동구","55~59세","총인구_남자(명)","","10820",
"성동구","55~59세","총인구_여자(명)","","11039",
"성동구","60~64세","총인구(명)","","21682",
"성동구","60~64세","총인구_남자(명)","","10628",
"성동구","60~64세","총인구_여자(명)","","11054",
"성동구","65~69세","총인구(명)","","15663",
"성동구","65~69세","총인구_남자(명)","","7411",
"성동구","65~69세","총인구_여자(명)","","8252",
"성동구","70~74세","총인구(명)","","11092",
"성동구","70~74세","총인구_남자(명)","","5053",
"성동구","70~74세","총인구_여자(명)","","6039",
"성동구","75~79세","총인구(명)","","8686",
"성동구","75~79세","총인구_남자(명)","","3734",
"성동구","75~79세","총인구_여자(명)","","4952",
"성동구","80~84세","총인구(명)","","5845",
"성동구","80~84세","총인구_남자(명)","","2323",
"성동구","80~84세","총인구_여자(명)","","3522",
"성동구","85~89세","총인구(명)","","2673",
"성동구","85~89세","총인구_남자(명)","","914",
"성동구","85~89세","총인구_여자(명)","","1759",
"성동구","90~94세","총인구(명)","","850",
"성동구","90~94세","총인구_남자(명)","","209",
"성동구","90~94세","총인구_여자(명)","","641",
"성동구","95~99세","총인구(명)","","159",
"성동구","95~99세","총인구_남자(명)","","33",
"성동구","95~99세","총인구_여자(명)","","126",
"성동구","100세이상","총인구(명)","","28",
"성동구","100세이상","총인구_남자(명)","","7",
"성동구","100세이상","총인구_여자(명)","","21",
"성동구","15세미만","총인구(명)","","27477",
"성동구","15세미만","총인구_남자(명)","","13969",
"성동구","15세미만","총인구_여자(명)","","13508",
"성동구","15~64세","총인구(명)","","213996",
"성동구","15~64세","총인구_남자(명)","","105528",
"성동구","15~64세","총인구_여자(명)","","108468",
"성동구","65세이상","총인구(명)","","44996",
"성동구","65세이상","총인구_남자(명)","","19684",
"성동구","65세이상","총인구_여자(명)","","25312",
"성동구","85세이상","총인구(명)","","3710",
"성동구","85세이상","총인구_남자(명)","","1163",
"성동구","85세이상","총인구_여자(명)","","2547",
"성동구","평균연령","총인구(명)","","43",
"성동구","평균연령","총인구_남자(명)","","42.3",
"성동구","평균연령","총인구_여자(명)","","43.7",
"성동구","중위연령","총인구(명)","","42.4",
"성동구","중위연령","총인구_남자(명)","","41.7",
"성동구","중위연령","총인구_여자(명)","","43.1",
"광진구","합계","총인구(명)","","347099",
"광진구","합계","총인구_남자(명)","","166469",
"광진구","합계","총인구_여자(명)","","180630",
"광진구","0~4세","총인구(명)","","7719",
"광진구","0~4세","총인구_남자(명)","","3973",
"광진구","0~4세","총인구_여자(명)","","3746",
"광진구","5~9세","총인구(명)","","10169",
"광진구","5~9세","총인구_남자(명)","","5220",
"광진구","5~9세","총인구_여자(명)","","4949",
"광진구","10~14세","총인구(명)","","11499",
"광진구","10~14세","총인구_남자(명)","","5881",
"광진구","10~14세","총인구_여자(명)","","5618",
"광진구","15~19세","총인구(명)","","13263",
"광진구","15~19세","총인구_남자(명)","","6548",
"광진구","15~19세","총인구_여자(명)","","6715",
"광진구","20~24세","총인구(명)","","28856",
"광진구","20~24세","총인구_남자(명)","","12753",
"광진구","20~24세","총인구_여자(명)","","16103",
"광진구","25~29세","총인구(명)","","38397",
"광진구","25~29세","총인구_남자(명)","","18177",
"광진구","25~29세","총인구_여자(명)","","20220",
"광진구","30~34세","총인구(명)","","30235",
"광진구","30~34세","총인구_남자(명)","","14985",
"광진구","30~34세","총인구_여자(명)","","15250",
"광진구","35~39세","총인구(명)","","25764",
"광진구","35~39세","총인구_남자(명)","","12784",
"광진구","35~39세","총인구_여자(명)","","12980",
"광진구","40~44세","총인구(명)","","24651",
"광진구","40~44세","총인구_남자(명)","","12275",
"광진구","40~44세","총인구_여자(명)","","12376",
"광진구","45~49세","총인구(명)","","25359",
"광진구","45~49세","총인구_남자(명)","","12503",
"광진구","45~49세","총인구_여자(명)","","12856",
"광진구","50~54세","총인구(명)","","28495",
"광진구","50~54세","총인구_남자(명)","","13624",
"광진구","50~54세","총인구_여자(명)","","14871",
"광진구","55~59세","총인구(명)","","26284",
"광진구","55~59세","총인구_남자(명)","","12829",
"광진구","55~59세","총인구_여자(명)","","13455",
"광진구","60~64세","총인구(명)","","25846",
"광진구","60~64세","총인구_남자(명)","","12260",
"광진구","60~64세","총인구_여자(명)","","13586",
"광진구","65~69세","총인구(명)","","18782",
"광진구","65~69세","총인구_남자(명)","","8896",
"광진구","65~69세","총인구_여자(명)","","9886",
"광진구","70~74세","총인구(명)","","12467",
"광진구","70~74세","총인구_남자(명)","","5711",
"광진구","70~74세","총인구_여자(명)","","6756",
"광진구","75~79세","총인구(명)","","9305",
"광진구","75~79세","총인구_남자(명)","","4255",
"광진구","75~79세","총인구_여자(명)","","5050",
"광진구","80~84세","총인구(명)","","6151",
"광진구","80~84세","총인구_남자(명)","","2609",
"광진구","80~84세","총인구_여자(명)","","3542",
"광진구","85~89세","총인구(명)","","2726",
"광진구","85~89세","총인구_남자(명)","","903",
"광진구","85~89세","총인구_여자(명)","","1823",
"광진구","90~94세","총인구(명)","","887",
"광진구","90~94세","총인구_남자(명)","","225",
"광진구","90~94세","총인구_여자(명)","","662",
"광진구","95~99세","총인구(명)","","203",
"광진구","95~99세","총인구_남자(명)","","47",
"광진구","95~99세","총인구_여자(명)","","156",
"광진구","100세이상","총인구(명)","","41",
"광진구","100세이상","총인구_남자(명)","","11",
"광진구","100세이상","총인구_여자(명)","","30",
"광진구","15세미만","총인구(명)","","29387",
"광진구","15세미만","총인구_남자(명)","","15074",
"광진구","15세미만","총인구_여자(명)","","14313",
"광진구","15~64세","총인구(명)","","267150",
"광진구","15~64세","총인구_남자(명)","","128738",
